Party,Handle,Tweet
Congress,incindia,"Did You Know Shri Rajiv Gandhi was an avid photographer? He was known to take some of the most beautiful photographs of his family, his country &amp; the world around him.   Can you guess which of the two pictures were taken by him. Like for A, RT for B.   #Rajiv75 #SadbhavanaDiwas  https://t.co/BszXDp83i4"
Congress,incindia,Before Shri Rajiv Gandhi joined politics he had a completely different career. Can you guess where he worked?   #Rajiv75 #SadbhavanaDiwas
Congress,incindia,Shri Rajiv Gandhi's commitment to empowering youth was illustrated largely through his education policy. He understood the important role education played in shaping the future of our nation &amp; created the National Policy on Education to instil change.   #Rajiv75 #SadbhavanaDiwas  https://t.co/4k3xbbxmOX
Congress,incindia,"Former President Dr. Pranab Mukherjee, former Vice President Hamid Ansari &amp; senior Congress leaders pay homage to Former PM Shri Rajiv Gandhi on his 75th birth anniversary.   #SadbhavanaDiwas #Rajiv75  https://t.co/Kso2keGDBz"
Congress,incindia,"Former PM Dr. Manmohan Singh, Congress President Smt. Sonia Gandhi, Shri  @RahulGandhi  &amp; AICC Gen Sec Smt.  @priyankagandhi  pay homage to Former PM Shri Rajiv Gandhi on his 75th birth anniversary.   #SadbhavanaDiwas #Rajiv75  https://t.co/BgjeX6zwhh"
Congress,incindia,"Shri Rajiv Gandhi's dream was to make India a formidable force in the 21st century.He focused on technology, education &amp; giving a voice to the disenfranchised. His vision &amp; policies are the foundation upon which India thrived &amp; for that he will always be revered  #SadbhavanaDiwas  https://t.co/F4AeZVfTcs"
Congress,incindia,"India's strength lies in its unity and diversity. As we remember Shri Rajiv Gandhi on his 75th birth anniversary, we must also remember that his words are now more relevant than ever. We must never allow communal madness to break the bond of unity among us all.  #SadbhavanaDiwas  https://t.co/mHjEmjMmmO"
Congress,incindia,"Shri Rajiv Gandhi believed in empowering panchayats &amp; local bodies. His dream was realised with the passing of 73rd &amp; 74th Constitutional Amendments that legitimised Panchayats &amp; Nagarpalikas, giving millions of Indians the power to participate in their democracy.   #Rajiv75  https://t.co/UUck5RlRoT"
Congress,incindia,"We congratulate Former PM Dr. Manmohan Singh on being elected as a Rajya Sabha MP from Rajasthan. His repository of knowledge, dedication to his work &amp; years of experience will benefit all.  https://t.co/V71T6gGZOi"
Congress,incindia,Congress President Smt. Sonia Gandhi shares her condolences to the family of Dr. Jagannath Mishra.  https://t.co/eDf7IxGUJ0
Congress,incindia,"We pay tribute to former President SD Sharma. He served as the 9th President, as a Union minister, the Chief Minister of the erstwhile state of Bhopal and also the President of the Indian National Congress.  https://t.co/w40EpUj0dP"
Congress,incindia,"When the nation was rife with separatism &amp; insurgency, Shri Rajiv Gandhi's visionary work brought our country together. Through thoughtful negotiation in the Mizoram, Punjab &amp; Assam Accords, he set the standard for #NationalIntegration, peace &amp; security in the country.   #Rajiv75  https://t.co/iTIjeelHyB"
Congress,incindia,"Our deepest condolences to the family of Shri Jagannath Mishra. Our thoughts and prayers are with them in this time of grief.   Former CM of Bihar &amp; a leader of the people, he served the nation with dedication &amp; honour.  https://t.co/bafA38lIJR"
Congress,incindia,"Shri Rajiv Gandhi dreamt of India and it's citizens being at the forefront of the world. His decisions, in the short time he was  PM, ensued a wave of changes in the country which helped us achieve greater heights. #Rajiv75 #YouthEmpowerment  https://t.co/XBhwT6A2NO"
Congress,incindia,"Today we honour one of our nation's greatest freedom fighters, a man without whom our history would not be the same. Subhas Chandra Bose exemplified freedom of thought and action.  https://t.co/ptcqFYyjyJ"
Congress,incindia,"One of Shri Rajiv Gandhi's dreams was to provide quality higher education to all young Indians. This dream was realised with the establishment of IGNOU in 1985, which currently enrols about 40 lakh students.   #Rajiv75 #YouthEmpowerment  https://t.co/lGpUP9DiCS"
Congress,incindia,"As the youngest Prime Minister in Indian history, Shri Rajiv Gandhi had a strong connection to India's youth. He understood their need for political participation &amp; took significant steps that forever changed how young people interacted with democracy.  #Rajiv75 #YouthEmpowerment  https://t.co/LFUEjM55nC"
Congress,incindia,"Since the govt. has silenced the people of Jammu &amp; Kashmir, we asked Indians what message they would have for the government and for the people of J&amp;K, this is what they had to say.  https://t.co/9hWD6DkBi4"
Congress,incindia,The doyen of the Indian IT industry says it like it is.  The Congress party created revolutionary policies that set the stage for India's most prosperous period.    https://t.co/VxSO22SZYo
Congress,incindia,"In 1985 Shri Rajiv Gandhi's govt launched the Universal Immunisation Programme that was initiated to create a Polio vaccine. The success of this programme can be measured by the massive decrease in Polio cases, from thousands in 1987 to 0 in 2014.   #Rajiv75 #ScienceAndTech  https://t.co/FExRIvVJbo"
Congress,incindia,Perhaps the Honourable BJP MP from Ladakh needs to be reminded that Jammu &amp; Kashmir is an internal issue &amp; no external organisation can assert to the contrary.  Unless the BJP has taken a U-turn on the matter.    https://t.co/I8tN2AyL0f
Congress,incindia,Which of Shri Rajiv Gandhi's policies has had the most significant impact on your lives?   #Rajiv75
Congress,incindia,"In 1987 the US denied selling India the Cray Supercomputer due to fears it would used for military purposes. Not one to let anything come in the way of his vision, Shri Rajiv Gandhi beat the odds &amp; made India 1 of 3 nations to create its own Supercomputer #Rajiv75 #ScienceAndTech  https://t.co/AjbA8OAsiQ"
Congress,incindia,Wishes for the Parsi community on Navroz from Congress President Smt. Sonia Gandhi.  https://t.co/bEtGXdxx02
Congress,incindia,"Shri Rajiv Gandhi once said, ""I would like to be remembered as having brought India into the 21st Century parallel with the most advanced countries in the world.""   Today, thanks to his vision, India is recognised as a leading technological power.   #Rajiv75 #ScienceAndTech  https://t.co/QBfJFzy2BV"
Congress,incindia,"Shri Rajiv Gandhi has been lauded as the father of the IT &amp; Telecom Revolutions in India. He is responsible for the accessibility of PCs, easing communication between Indians &amp; the world &amp; most notably making India a digital force in the 21st Century.   #Rajiv75 #ScienceAndTech  https://t.co/sZKbrQMvyl"
Congress,incindia,"Greetings to the Parsi community on the auspicious occasion of Nowruz. We wish you all a wonderful year ahead, Nowruz Mubarak!  https://t.co/sjw580EEjp"
Congress,incindia,"Press Statement issued by the Shri Ghulam Nabi Azad, Leader of Opposition (Rajya Sabha) &amp; General Secretary AICC on the arrest of Sh. Ravinder Sharma, Spokesperson Pradesh Congress Committee, J&amp;K.  https://t.co/IakVCzEdhX"
Congress,incindia,Widespread illegal arrests by the Modi Govt all across J&amp;K shows that the Govt doesn't care for civil liberties and democratic processes. #StopIllegalArrestsInKashmir
Congress,incindia,Our spokesperson in J&amp;K Shri Ravinder Sharma was illegally arrested while conducting a press conference. And so was the PCC chief Shri Ghulam Ahmed Mir. We condemn this dictatorial move by the Modi Govt &amp; demand that they be released immediately. #StopIllegalArrestsInKashmir  https://t.co/fOorQ45C7b
Congress,incindia,"I am sorry to say, India as a whole stands behind the government, but this is a grave diplomatic failure of the government. It is a grave strategic failure of the government: @DrAMSinghvi #ModiDiplomacyFailure  https://t.co/ejfrfml8FB"
Congress,incindia,"Shah Faesal is the most recent J&amp;K leader to be unconstitutionally &amp; illegally detained by the govt. There is no clarification on who detained him, why he was detained or when he &amp; the other leaders will be let go?    https://t.co/xPXGWR0IVE"
Congress,incindia,J&amp;k is India's internal issue and no body  group or organisation can assert to the contrary. For the first time in 48 years the UN has taken up the Kashmir issue - this is glaring diplomatic failure by the BJP govt.   #ModiDiplomacyFailure    https://t.co/5LwxNgFtXF
Congress,incindia,"Did You Know Shri Rajiv Gandhi was responsible for banning the practice, propagation, celebration and glorification of Sati. He also ensured anti-dowry laws were strengthened by placing the onus of proving innocence on the groom &amp; his family.   #Rajiv75 #WomenEmpowerment  https://t.co/xW75NBJ2hK"
Congress,incindia,"Shri Rajiv Gandhi was a visionary leader, he understood where the world was heading &amp; ensured that India's trajectory was in the same direction.  His determination to involve women in every level of governance &amp; societal change was part of his vision for a strong India.  #Rajiv75  https://t.co/xwoor0DQch"
Congress,incindia,"Former PM Shri Rajiv Gandhi held onto the simple belief that women play an integral role in the development of a nation.   Through Panchayati Raj &amp; Nagar Palika bills, he ensured women had a voice in policy making &amp; influenced local &amp; national politics  #Rajiv75 #WomenEmpowerment  https://t.co/CMMFl2bLXi"
Congress,incindia,"For the following week we will be celebrating the 75th anniversary of Former PM Shri Rajiv Gandhi's birth anniversary.   Watch this space for highlights on his many achievements, visionary policies &amp; the incredible leader that he was.   #Rajiv75  https://t.co/oJyCVuBTh9  https://t.co/dcnebkOG8D"
Congress,incindia,We honour the former Prime Minister Atal Bihari Vajpayee for his immense contribution to the nation.  https://t.co/8fF4sYQWmQ
Congress,incindia,"Today Modiji can proudly call India a $3trillion economy because of the sustained efforts of Indians, the prudent five year plans &amp; the success of previous govts   Basically, the economy was handed over to Modi on a silver platter &amp; he still managed to ruin it  #ModiLiesAtRedFort  https://t.co/WMfJo6er2t"
Congress,incindia,"Finally the truth-what's happened in these 70 days could never have been considered in the last 70 years. Anti-democratic &amp; anti-constitutional decisions that trample on the rights of citizens can only be taken by Modi   As for Triple Talaq, the truth is clear  #ModiLiesAtRedFort  https://t.co/ev6VlFtK4c"
